,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId,result,sentiment,sentiment_score
0,229aaad2-b503-4a05-b063-ba80a5517712,Sajid Mansuri,https://play-lh.googleusercontent.com/a/AItbvmmvV2dpdMumoQuoUv9J1FafBndxk32csc6xRBaP=mo,Zoya,1,1,,2022-09-04 13:25:19,,,com.divinegames.weddingfashionmakeover,"[{'label': 'POSITIVE', 'score': 0.9880322217941284}]",POSITIVE,0.9880322217941284
1,622953e7-71d2-4537-a3ea-8a661d6d7d8f,NIZAM SYED (LUCKY),https://play-lh.googleusercontent.com/a/AItbvmkxv3TErTd8vHZHWIMUTV2_wrkyKg9SElbm1eRJyA=mo,😍😍😍😍😍😍😍(●´з`)♡,5,0,,2022-09-01 09:50:18,,,com.divinegames.weddingfashionmakeover,"[{'label': 'POSITIVE', 'score': 0.9983381032943726}]",POSITIVE,0.9983381032943726
2,bd66bf47-fba8-4beb-aab8-454799b1e6a9,Mayank 22 6C Mamta singh,https://play-lh.googleusercontent.com/a-/AFdZucoPy53_FaauKtbeZadOBpOBj-MwLwlz1R6PWr-SPQ,So good game no words for this game,5,0,1.2,2022-08-30 11:08:50,,,com.divinegames.weddingfashionmakeover,"[{'label': 'POSITIVE', 'score': 0.998640239238739}]",POSITIVE,0.998640239238739
3,9d0af9c5-baaf-4425-8627-e848bfdf7ec2,Sumit Khatak,https://play-lh.googleusercontent.com/a/AItbvmmIEfnYSYBkzzUIrgG3dHl7vNB4w2oejMGMNsXL=mo,Syndrome game and hai,5,0,,2022-08-28 07:02:08,,,com.divinegames.weddingfashionmakeover,"[{'label': 'POSITIVE', 'score': 0.9962207674980164}]",POSITIVE,0.9962207674980164
4,d67322fe-1a1a-4028-b41f-2b34acf9fc25,Ibraheem Tassawar,https://play-lh.googleusercontent.com/a/AItbvmkVNw9Zy4Ev5Usxs-UuB3r5vvCUVNGgm8ewCFAq=mo,Wedding fashion doll makeoveer...,5,0,,2022-08-15 03:27:52,,,com.divinegames.weddingfashionmakeover,"[{'label': 'POSITIVE', 'score': 0.9890389442443848}]",POSITIVE,0.9890389442443848
5,bb82af1f-de8d-4a2a-9257-c22a823f2903,Rina Das,https://play-lh.googleusercontent.com/a/AItbvmkydzUR2eNiJaQhK7hllR2667-OJbVD_Ecv9v2z=mo,I like it.,4,0,1.0.5,2022-09-09 10:52:15,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'POSITIVE', 'score': 0.9988269209861755}]",POSITIVE,0.9988269209861755
6,81666885-c141-4bd8-9a93-e62676695a37,Aarav goyal,https://play-lh.googleusercontent.com/a-/AFdZucovbgFH5PGucg_0NLGRogn2ECP2N6Hwxn9MvD-P,Very nice game,5,0,,2022-09-08 11:49:56,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'POSITIVE', 'score': 0.9987919926643372}]",POSITIVE,0.9987919926643372
7,32ee3fe5-ffe9-466b-9521-fbb2f8abf0bf,sunil kumar,https://play-lh.googleusercontent.com/a-/AFdZucqUubCtiMrf2QNu5-vQW6-ySzwd0H1UXvsQRx3U,Very bad game,1,0,1.0.5,2022-09-06 09:00:21,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'NEGATIVE', 'score': 0.9994944334030151}]",NEGATIVE,0.9994944334030151
8,edc6d1e6-ac73-45d4-91b2-380585f1d226,Amit Kumar Singh,https://play-lh.googleusercontent.com/a/AItbvmn61aQf2M4kzn7uSCOsytIU9wdEXAwqCKGXdj5c=mo,Very very bad,1,0,,2022-09-06 01:40:13,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'NEGATIVE', 'score': 0.9994558691978455}]",NEGATIVE,0.9994558691978455
9,ee981126-73e1-4429-b3b3-1646237f306b,Sumer Singh Choudhary,https://play-lh.googleusercontent.com/a-/AFdZucqbNQ3BJiaiCDHeNFqeDxcLRq1x7uOWv9m4XAYshA,Nice game,3,0,1.0.5,2022-09-05 12:14:58,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'POSITIVE', 'score': 0.9988034963607788}]",POSITIVE,0.9988034963607788
10,bb82af1f-de8d-4a2a-9257-c22a823f2903,Rina Das,https://play-lh.googleusercontent.com/a/AItbvmkydzUR2eNiJaQhK7hllR2667-OJbVD_Ecv9v2z=mo,I like it.,4,0,1.0.5,2022-09-09 10:52:15,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'POSITIVE', 'score': 0.9988269209861755}]",POSITIVE,0.9988269209861755
11,81666885-c141-4bd8-9a93-e62676695a37,Aarav goyal,https://play-lh.googleusercontent.com/a-/AFdZucovbgFH5PGucg_0NLGRogn2ECP2N6Hwxn9MvD-P,Very nice game,5,0,,2022-09-08 11:49:56,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'POSITIVE', 'score': 0.9987919926643372}]",POSITIVE,0.9987919926643372
12,32ee3fe5-ffe9-466b-9521-fbb2f8abf0bf,sunil kumar,https://play-lh.googleusercontent.com/a-/AFdZucqUubCtiMrf2QNu5-vQW6-ySzwd0H1UXvsQRx3U,Very bad game,1,0,1.0.5,2022-09-06 09:00:21,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'NEGATIVE', 'score': 0.9994944334030151}]",NEGATIVE,0.9994944334030151
13,edc6d1e6-ac73-45d4-91b2-380585f1d226,Amit Kumar Singh,https://play-lh.googleusercontent.com/a/AItbvmn61aQf2M4kzn7uSCOsytIU9wdEXAwqCKGXdj5c=mo,Very very bad,1,0,,2022-09-06 01:40:13,,,com.fashiondollmakeupgames.fashiongirlgames2020,"[{'label': 'NEGATIVE', 'score': 0.9994558691978455}]",NEGATIVE,0.9994558691978455
